索引,数据来源
SQ-1,"CAVANO J P, MCCALL J A. A framework for the measurement of software quality"
SQ-2,"BOEHM B W, DEMARCO T. Software risk management"
SQ-3,ISO/IEC9126-2001
SQ-4,"SUMAN M W,ROHTAK M D U. A comparative study of software quality models"
SQ-5,"SUMAN M W,ROHTAK M D U. A comparative study of software quality models"
SQ-6,"SUMAN M W,ROHTAK M D U. A comparative study of software quality models"
SQ-7,Dromey R G. A model for software product quality 
SQ-8,"Suman M W,Rohtak M D U. A comparative study of software quality models"
SQ-9,"Suman M W,Rohtak M D U. A comparative study of software quality models"
SQ-10,"BANSIYA J,DAVIS C G.A hierarchical model for object-oriented design quality assessmen"
SQ-11,"Suman M W,Rohtak M D U. A comparative study of software quality models"
SQ-12,"KUMAR A,GROVER P S, KUMAR R. A quantitative evaluation of aspect-oriented software quality model (AOSQUAMO)"
SQ-13,"Suman M W,Rohtak M D U. A comparative study of software quality models"
SQ-14,"Suman M W,Rohtak M D U. A comparative study of software quality models"
SQ-15,"CASTILLO I, et al. REquirements, Aspects and Software Quality: the REASQ model"
SQ-16,ISO/IEC 25010-2011
SQ-17,"KUDO T N,BULC?O-NETO R F,VINCENZI A M.Toward a Metamodel Quality Evaluation Framework: Requirements, Model, Measures, and Process."
SQ-18,"MANUEL F, VALLECILLO A. Quality attributes for COTS components"
SQ-19,"FRANKE D,KOWALEWSKI S,WEISE C.A mobile software quality model"
SQ-20,苏国鹏. 基于ISO/IEC 25010标准的构件质量模型的建立与评价方法研究
SQ-21,张洪玲.SaaS模式应用软件的质量评价方法研究
SQ-23,王安邦. 航天软件质量评价方法研究
SQ-24,王斌. 基于综合层次模型的舰载装备软件质量评价方法研究
SerQ1,(SQuaRE) ― Service quality models
SerQ2,SERVQUAL
SerQ3,"信息技术　
SOA服务质量模型及测评规范"
SerQ4,"信息技术服务 
质量评价指标体系"
SerQ5,"信息技术 云计算
云服务质量评价指标
"
SerQ6,"基于云计算的电子政务公共平台管理规范
第1部分:服务质量评估"
SerQ7,The Evaluation System for Cloud Service Quality Based on SERVQUAL
SerQ8,Enhanced QoS-Based Model for Trust Assessmentin Cloud Computing Environment
SerQ9,Satisfaction aware QoS-based bidirectional service mapping in cloud environment
SerQ10,A framework for ranking of cloud computing services
WSQM1-WSQM47,"ORIOL M, MARCO J, FRANCH X. Quality models for web services: a systematic mapping"
